Name,About,Website,Email,Address,Phone,Food,Housing,Health_Care,Supplies,Advisory_Counseling,Employment_Training,Community,Families_Women_and_Children,Items_Needed,Area
A Home Away From Homelessness,A Home Away From Homelessness is an after-school program that serves homeless and formerly homeless youths in San Francisco.,www.homeaway.org,admin@homeaway.org,"Fort Mason, Building 33, San Francisco",415-571-3112,,,,x,,,,x,"School supplies (backpacks, binders, notebooks, scientific calculators), new (or gently used) clothing for youth of all ages/sizes, plastic storage bins and cleaning supplies for the facilities",SF
Abode Services,"Abode Services is working to end homelessness in Santa Clara, Alameda, Santa Cruz and San Mateo counties by securing permanent homes for homeless individuals and families",www.abodeservices.org,jmorgan@abodeservices.org,"588 Brown Road, Fremont","510-252-0910, ext. 804",x,x,,x,,,,x,"Food, new clothing, household items",EB
Back on My Feet,"Back on My Feet is a national organization with chapters across the country including San Francisco. This organization works to combat homelessness through the power of running, community support and essential employment and housing resources.",backonmyfeet.org/san-francisco,info@backonmyfeet.org (attention to San Francisco),"169 11th St., San Francisco",215-772-1080,,x,,x,,x,x,,"Lightly used clothing, brand-new running shoes, socks and undergarments for men and women",SF
Bay Area Rescue Mission,"Bay Area Rescue Mission offers a clean, safe place to sleep as well as a yearlong program to help adults get back into a functional, productive life.",www.bayarearescue.org,info@BayAreaRescue.org,"200 Macdonald Ave., Richmond",510-215-4887,x,x,,x,,,,,"Canned tuna/chicken, canned veggies/fruit, flour, cornmeal, oatmeal,  pancake mix, pasta, sugar, spices, cooking oil and vinegar, hygiene kits, new socks/underwear, pillows/blankets and cleaning supplies",EB
Berkeley Food & Housing Project,"This group provides a comprehensive range of housing, food and support services to help those in need move from homelessness into a safe and affordable home of their own.",bfhp.org/get-involved/in-kind-donations,info@bfhp.org,"1901 Fairview St., Berkeley",510-318-6606,x,x,,x,x,,,,"Energy bars, nutritional drinks, socks, new twin-size bedding (see website link for full wish list)",EB
Building Futures,"Building Futures helps people affected by homelessness and domestic violence by operating a safe house, emergency shelters, a permanent housing site and offering rental assistance.",www.bfwc.org,N/A,"1395 Bancroft Ave., San Leandro","510-357-0205, ext. 206",x,x,,,,,,,"New: socks and underclothes for adults and children, towels, twin-size sheets, cleaning supplies for 'move in kit' and diaper sizes 3, 4, and 5",EB
Building Opportunities for Self Sufficiency,"Building Opportunities for Self Sufficiency provides housing, employment, mental health services and violence prevention solutions.",www.self-sufficiency.org,gaustin@self-sufficiency.org,"1918 University Ave. No. 2A, Berkeley","510-649-1930, ext. 1001",,x,x,x,x,x,,,"Computers/laptops, TVs/DVD players, towels and toiletries, kitchen and cooking utensils, new socks and underwear, linens/bedding (twin), office supplies, T-shirts (larger sizes), furniture and houseware",EB
Care Through Touch Institute,"The Care Through Touch Institute accompanies, comforts and empowers homeless and marginally housed people through free seated massage therapy and a compassionate, supportive presence. Healing touch combined with a loving presence inspires hope, restores a sense of dignity, and empowers both the volunteer and recipient to aspire to a healthier, safer, more just and caring way of being.",www.carethroughtouch.org,office@carethroughtouch.org,"240 Golden Gate Ave., Ste. 206, San Francisco",415-344-0302,,,,x,x,,x,,"Food to help feed volunteers during trainings; supplies such as laundry detergent, cleaning supplies, massage lotion and hand sanitizer; transportation cards such as bus cards or BART cards to help cover the cost of transportation for volunteers; massage chairs;  socks, toiletries, snacks, gift cards to local eateries/stores, etc.",SF
Catholic Charities of San Francisco,"Catholic Charities programs include emergency family shelters; eviction prevention services;   specialized counseling for people with triple diagnoses of mental illness, addiction and chronic illness such as HIV/AIDS; intensive case management; and family Access Points in the Bayview and Mission districts. Catholic Charities serves everyone.",www.catholiccharitiessf.org,moreinfo@CatholicCharitiesSF.org,"990 Eddy St., San Francisco",415-972-1200,x,,x,x,,,,x,"Books, games and puzzles for children, hygiene items for adults and children (wet wipes, toothbrushes, toothpaste, combs or brushes, lip balm), emergency blankets, ponchos, healthy ready-to-eat food, gloves, scarves, hats, gift cards, baby items",SF
Children of Shelters,"Children of Shelters offers educational opportunities, cultural experiences and enrichment activities.",www.childrenofshelters.org,volunteer@childrenofshelters.org,"2269 Chestnut St., Box 439, San Francisco",415-805-8579,,,,,,,x,x,Event ticket purchases,SF
Cityteam,"Cityteam provides food, shelter, clothing, training and spiritual transformation. These programs help to address poverty and homelessness in San Jose, San Francisco and Oakland by caring for immediate needs and enabling lasting solutions.",http://cityteam.org,info@cityteam.org,"Corporate address: 2304 Zanker Road, San Jose. San Francisco location: 164 Sixth St.",408-232-5600,x,x,,x,,x,,,"Gently used clothing, travel-size toiletries, nonperishable food",SB
Coalition on Homelessness,Coalition on Homelessness is an advocacy organization that works to protect the human rights of homeless people.,http://cohsf.org,N/A,"468 Turk St., San Francisco",415-346-3740,,,,,x,,,,"New Mac computers, basic software",SF
COTS,COTS assists people transitioning from homelessness to a permanent home.,http://cots-homeless.org,N/A,"900 Hopper St., Petaluma","707-765-6530, ext. 111",,x,,x,,,,,"Feminine products, men's jeans, socks, new adult underwear, gently used furnishings, flash drives, pocket calendars, prepaid cell phones and minutes",NB
Community Action North Bay,"Community Action North Bay provides housing, food, clothing, case management, money management and other training.",http://canbinc.org,info@canbinc.org,"416 Union Ave., Fairfield","707-427-1148, ext. 112",x,x,,x,x,x,,,"Food pantry items (cooking oil, ground beef, milk, cheese, eggs, healthy grains/beans, canned vegetables, fresh fruit and vegetables), housing items (bedding, blankets, sheet sets, pillows, hygiene kits), toiletries, underwear/socks, flashlights, travel-size hygiene kits",NB
Community Education Partnerships,"Community Education Partnerships provides educational support to children who are experiencing, or have been affected by, homelessness and housing instability.",http://cep.ngo,info@cep.ngo,"P.O. Box 5632, Berkeley, CA 94705",510-903-1063,,,,x,,,x,x,"School supplies, tablets, multicultural children's books",EB
Community Services Agency,"Community Services Agency provides a safety net for elderly, low-income and homeless residents of Mountain View, Los Altos and Los Altos Hills. Services offered include transportation, nutrition services, shopping assistance and case management for seniors; food and emergency financial assistance for low-income people and comprehensive case management for homeless individuals and families.",http://csacares.org,lclark@csacares.org,"204 Stierlin Rd., Mountain View, CA","650-968-0836, ext.114",x,,,,x,,,x,"Healthy groceries, including canned food (tuna, vegetables, pop-top soup), pasta, rice, beans, cereal as well as fresh produce.",SB
Compass Family Services,"Compass Family Services provides comprehensive services needed to help homeless families and those at imminent risk to achieve housing stability, economic self-sufficiency and well-being.",http://compass-sf.org,klamb@compass-sf.org,"37 Grove St., San Francisco","415-644-0504, ext. 1112",,,,x,x,,,x,"Diapers (sizes 4, 5, 6), baby wipes, new socks and underwear (for adults and children), school and craft supplies, feminine hygiene products, new car seats and child boosters, new and gently used clothing, shoes, strollers and vehicles (we are not able to accept used car seats, breast pumps, stuffed animals, pillows, socks or underwear for safety and hygiene reasons)",SF
Conard House,Conard House serves adults rendered homeless by serious mental health conditions. They offer permanent supportive housing to 707 residents living in eight multi-unit residential communities in San Francisco. They also offer supportive money management to their residents and an additional 812 clients with similar needs but living in other San Francisco housing.,http://conard.org,abrown@conard.org,"2441 Jackson St., San Francisco",415-346-6380,,x,,,x,,,,Please call for an update on most current needs,SF
Contra Costa Interfaith Housing,Contra Costa Interfaith Housing provides permanent housing  and  support services to vulnerable families and individuals.,http://ccinterfaithhousing.org,info@ccinterfaithhousing.org,"399 Taylor Blvd., Ste 115, Pleasant Hill",925-944-2244,,x,,x,x,,,x,"New mattresses (twin and full), furniture (as needed), home furnishings, bedbug kits, feminine hygiene products, diapers (sizes 3-5),  cleaning supplies, new towels and blankets.",EB
Covenant House California,Covenant House California provides shelter and sanctuary to youth ages 13-24 experiencing homeless and/or trafficking.,http://covenanthousecalifornia.org,info@covenanthousecalifornia.org,"200 Harrison St., Oakland",510-379-1008,,x,,x,,,,x,"Gift cards for clothing, restaurants or groceries, toiletries, twin-size linens, blankets, pillows, cleaning supplies, and new clothing",EB
Davis Street Family Resource Center,"Davis Street Community Center provides  medical, dental, vision, pediatrics, behavioral and women's health services;  affordable  subsidized child care at five  centers; programs for individuals with developmental disabilities through Stepping Stones Growth Center; and housing, utility assistance, referrals and emergency food and clothing assistance to residents of San Leandro, San Lorenzo, Ashland, Cherryland and Castro Valley.",http://davisstreet.org,N/A,"3081 Teagarden St., San Leandro",510-347-4620,x,x,x,x,x,,,x,Backpacks and classroom supplies,EB
Delivering Innovation in Supportive Housing (DISH),Delivering Innovation in Supportive Housing provides permanent housing to people who have experienced long-term homelessness and who suffer from serious health issues. DISH is a project of Tides.,http://dishsf.org,info@dishsf.org,"123 10th St., San Francisco (Main Office)",415-776-3474,,x,,,,,,,"Coordinated bulk donations of new items are preferred, please call for details",SF
Dolores Street Community Services,"Dolores Street Community Services serves the Mission and Castro neighborhoods with a variety of programs, including shelter, housing and immigration services.",http://dscs.org,info@dscs.org,"938 Valencia St., San Francisco","415-282-6209, ext. 118",,x,,x,x,,,,"Industrial kitchen supplies, first aid supplies, men's and women's clothing (winter and summer), socks and underwear, and men's and women's hygiene and toiletry products",SF
Downtown Streets Team,"Downtown Streets Team aims to end homelessness by putting people to work, allowing them to earn work experience in exchange for stipends and other assistance.",http://streetsteam.org,raymond@streetsteam.org,"65 Ninth St., San Francisco",415-521-0295,,,,,,x,,,Interview clothes and gift cards,SF
DrawBridge: An Arts Program for Homeless Children,"DrawBridge provides art programs for homeless and other underserved children where they live, creating an environment that fosters creativity, joy, self-confidence and hope.",http://drawbridge.org,beth@drawbridge.org,"P.O. Box 2698, San Rafael, CA 94912",415-640-4047,,,,,,,x,x,"Art supplies: paper, paints, crayons, scissors, etc.",NB
East Bay Community Recovery Project,"East Bay Community Recovery Project-Lifelong Medical Care  provides intensive case management, connections with community resources, charging station, showers and laundry for homeless people.",http://ebcrp.org,shjohnson@lifelongmedical.org,"2579 San Pablo Ave., Oakland",510-332-2330,,,,x,x,,x,,"Men's and women's socks, T-shirts and underwear",EB
East Oakland Collective,"East Oakland Collective works toward racial and economic equity through civic engagement and economic empowerment. The organization works in direct services, advocacy, organizing and housing for the homeless in Oakland.",http://eastoaklandcollective.com,info@eastoaklandcollective.com,"P.O. Box 5382, Oakland, CA 94605",510-990-0775,x,x,,x,x,,,,"Hygiene supplies, nonperishable food (excluding canned goods), monetary donations to purchase additional food and supplies",EB
Episcopal Community Services San Francisco,"Episcopal Community Services San Francisco operates shelters, Navigation Centers, supportive housing, job training, adult education and senior services.",https://ecs-sf.org,aahosani@ecs-sf.org,"165 Eighth St., 3rd fl., San Francisco","415-487-3300, ext. 1247",,x,,x,,x,,,"Laundry detergent, disinfecting wipes, antibacterial hand wash, latex gloves, feminine products, incontinence pads, adult diapers, travel-size toiletries, toothbrushes and toothpaste, new in-package men's and women's white athletic socks, new in-package men's and women's T-shirts, books and DVDs",SF
Family Supportive Housing,Family Supportive Housing provides temporary shelter and support to hundreds of families in crisis.,http://familysupportivehousing.org,volunteer@familysupportivehousing.org,"692 N. King Road, San Jose",408-926-8885 or 408-516-5116,,x,,x,,,,x,"Bath towels, socks (new for all age ranges), twin or queen sheets and toiletries",SB
Farming Hope,"Farming Hope is a nonprofit community organization providing transitional employment and training in the culinary industry to unhoused and low-income people. They sell  food at Manny's in the Mission District, and host community dinners throughout the year to bring people from all walks of life to share a meal together.",http://farminghope.org/donate,team@farminghope.org,"3092 16th St., San Francisco",415-913-7985,x,,,,,x,x,,Donate a seat at the community dinners to an unhoused neighbor: https://farminghope.org/donate,SF
Food Runners,Food Runners collects and delivers more than 17 tons of food a week that would otherwise be thrown away.,http://foodrunners.org,N/A,N/A,415-929-1866,x,,,,,,,,"Package your excess food and fill out the online donation form via their website, or leave a message at 415-929-1866",SF
Glide Foundation,"Glide Foundation provides services including daily free meals, access to health care, child care, housing assistance, harm reduction services, access to legal aid, a safe harbor and unconditional love.",http://glide.org,volteam@glide.org,"330 Ellis St., San Francisco",415-674-6037,x,x,x,,x,,,,Vehicles and new toys,SF
Haight Ashbury Food Program,Haight Ashbury Food Program provides nutritious groceries to approximately 170 low-income people and families in the surrounding 94117 zip codes every Saturday from 12:30  to 2:30 p.m.,http://thefoodprogram.org,hafppantry@gmail.com,"1525 Waller St., San Francisco",N/A,x,,,,,,,x,Unopened food,SF
Hamilton Families,"Hamilton Families is San Francisco's leading service provider to homeless families, with an array of highly effective programs at sites in San Francisco and Oakland.",http://hamiltonfamilies.org,volunteer@hamiltonfamilies.org,"1631 Hayes St., San Francisco",415-321-2612,,,,,,,,x,"Diapers (all sizes), baby wipes, new and unopened travel-size toiletries, laundry pods, newborn baby items",SF
HomeFirst,"HomeFirst is a leading provider of services, shelter and housing for the homeless and those at risk of homelessness in Santa Clara County. They serve more than 5,000 adults, veterans, families, and youth each year at seven locations, including the Boccardo Reception Center, which is the county's largest homeless services center.",http://homefirstscc.org,info@homefirstscc.org,"507 Valley Way, Milpitas",408-539-2100,,x,,x,x,,,x,"Travel size items: Shaving cream, toothpaste, deodorant, hand sanitizer, soap, shampoo; standard items: lip balm, baby diapers, new socks, elastic-waist pants, all sizes/genders, adult pull-on diapers/incontinence supplies, wet wipes, razors (disposable), toothbrushes, laundry soap (powder or powder pods), bath towels, twin sheets, and washable twin blankets, new white T-shirts and new underwear/undergarments for men and women in all sizes",SB
Homeless Action Center,Homeless Action Center provides free public benefits advocacy to low-income people in Alameda County.,http://homelessactioncenter.org,info@homelessactioncenter.org,"3126 Shattuck Ave., Berkeley; 1432 Franklin St., Oakland; 2601 San Pablo Ave., Oakland",Berkeley 510-540-0878; Downtown Oakland 510-836-3260; West Oakland 510-695-2260,,,,x,x,,,,"Packages of new socks, camping supplies (tents, sleeping bags, sleeping pads).",EB
Homeless Children's Network,Homeless Children's Network reduces the trauma of homelessness and domestic violence by providing mental health consultations and treatment. It also operates a resource center and provides case management.,http://hcnkids.org,admin@hcnkids.org,"3450 Third St., Building 1, Unit 1C, San Francisco",415-437-3990,,,x,,x,,,x,Please call for an update on most current needs,SF
Homeless Prenatal Program,"The Homeless Prenatal Program partners with families to break the cycle of poverty, with services ranging from drop-in emergency needs to job training and housing assistance.",http://homelessprenatal.org,info@homelessprenatal.org,"2500 18th St., San Francisco",415-546-6756,,x,,x,,x,,x,"New diapers, baby wipes, toiletries, formula and baby food, and gently used baby and children's clothes and books",SF
Hospitality House,"Hospitality House is a progressive, community-based organization located in San Francisco's Tenderloin Neighborhood, Sixth Street Corridor, and Mid-Market Area that provides opportunities and resources for personal growth and self-determination to neighborhood residents and community members struggling with poverty and/or homelessness. The mission of this organization is to build community strength by advocating policies and rendering services which foster self-sufficiency and cultural enrichment.",http://hospitalityhouse.org,info@hospitalityhouse.org,"290 Turk St., San Francisco, CA 94102",415-749-2100,,,,x,x,,x,,"Brand new socks, underwear, t-shirts; brand new hygiene products (razors, deodorant, soap, tooth brushes, feminine hygiene products, etc.); new/ unworn beanies, scarves, jackets, backpacks; art supplies (blank canvas, paint, frames, etc.); new or lightly worn interview clothing (suits, ties, dress shoes, button up shirts, belts)",SF
La Casa de las Madres,La Casa de las Madres provides shelter and support services to individuals who are at risk of or have been exposed to abuse.,http://lacasa.org,donations@lacasa.org,"1269 Howard St., San Francisco",415-503-0500,x,x,,x,x,,,,"New personal care items, maintenance supplies (paper towels, napkins, laundry soap), feminine hygiene products and food items such as baby formula, coffee, tea, canned fruits and vegetables",SF
Lava Mae,Lava Mae bring critical services to the street through programs such as their mobile hygiene service and Pop-Up Care Villages.,http://lavamae.org,info@lavamae.org,"1015 Fillmore St., San Francisco",415-660-7425,,,,x,,,,,Razors and other hygiene items are always needed. Additional items needed can be found at wish list at gooddler.com/Wishlist/10214,SF
